# Step	AvgQ	AvgP
608	-0.0441261	0.145276
609	-0.0441261	-0.114677
610	-0.0497555	0.115461
611	-0.0497555	0.0521246
612	-0.0497555	-0.0705352
613	-0.0497555	0.0656399
614	-0.0469131	-0.0539784
615	-0.0460103	-0.0152795
616	-0.04277	-0.0621768
617	-0.04277	-0.0159963
618	-0.0483516	0.114421
619	-0.0500601	0.0371385
620	-0.0500601	-0.0883675
621	-0.0500601	0.0398466
622	-0.0508864	0.0195604
623	-0.0532613	0.0506466
624	-0.0532613	0.109693
625	-0.0567181	0.0724681
626	-0.0567181	0.104981
627	-0.0629935	0.129162
628	-0.0629499	0.00290474
629	-0.0600292	-0.0547569
630	-0.0600292	-0.0368742
631	-0.0595938	-0.0051255
632	-0.0564968	-0.0584907
633	-0.0564968	0.0829185
634	-0.0574471	0.0224316
635	-0.0608279	0.0711967
636	-0.0608279	-0.156981
637	-0.0630021	0.0472207
638	-0.0630021	0.110482
639	-0.0630021	-0.122388
640	-0.0630021	-0.0312035
641	-0.0630021	0.0516664
642	-0.0630021	-0.15158
643	-0.0630021	0.0219508
644	-0.0622286	-0.0117232
645	-0.0622286	-0.0233015
646	-0.0622286	0.067927
647	-0.0660337	0.0799866
648	-0.0660337	-0.0722697
649	-0.0660337	0.0656882
650	-0.0634432	-0.0479545
651	-0.0634432	-0.0578479
652	-0.0634432	0.030276
653	-0.0634432	0.00450033
654	-0.0634432	-0.00720191
655	-0.0640977	0.0169214
656	-0.0640977	0.0607432
657	-0.064518	0.0122659
658	-0.0669776	0.0531608
659	-0.0669776	-0.077372
660	-0.0669776	-0.0274631
661	-0.067433	0.0131441
662	-0.0618607	-0.107627
663	-0.0647308	0.0612281
664	-0.063844	-0.0138902
665	-0.0602077	-0.0690439
666	-0.0572445	-0.0557725
667	-0.0577222	0.0130064
668	-0.0577222	0.0659033
669	-0.0577222	0.00274394
670	-0.0577222	-0.0689589
671	-0.0589565	0.0281983
672	-0.0590189	0.00478561
673	-0.0560911	-0.0551344
674	-0.0520977	-0.0766643
675	-0.0520977	0.0379973
676	-0.0499412	-0.0400934
677	-0.0499412	0.0738975
678	-0.0497763	-0.000310109
679	-0.0519511	0.0465692
680	-0.0519511	-0.0447807
681	-0.0542588	0.0493618
682	-0.0533377	-0.0152047
683	-0.0533377	-0.0149048
684	-0.0533377	-0.0298693
685	-0.0551554	0.0396269
686	-0.0551554	0.014802
687	-0.0551554	-0.00472619
688	-0.0553785	0.00777821
689	-0.0580237	0.0563318
690	-0.0580237	-0.0164766
691	-0.0580237	0.0356709
692	-0.0561606	-0.0338583
693	-0.0598086	0.0764742
694	-0.0609705	0.0268711
695	-0.0560385	-0.095181
696	-0.0578381	0.0394253
697	-0.0578381	-0.0136311
698	-0.0671396	0.189872
699	-0.0671396	-0.131989
700	-0.0660962	-0.016883
701	-0.0678993	0.0400988
702	-0.0678993	0.00162208
703	-0.0645293	-0.0634638
704	-0.0630094	-0.0265899
705	-0.0630094	-0.0239726
706	-0.0630094	0.0057832
707	-0.065487	0.0534315
708	-0.0604316	-0.0973854
709	-0.0604316	-0.0460989
710	-0.0594557	-0.0159328
711	-0.0562825	-0.0600256
712	-0.0589811	0.0574562
713	-0.0589811	-0.00505391
714	-0.0612274	0.0485533
715	-0.0612274	-0.0132267
716	-0.0612274	0.0364665
717	-0.0536685	-0.147811
718	-0.0567999	0.0659741
719	-0.0577867	0.023181
720	-0.057208	-0.00813152
721	-0.057208	0.00930486
722	-0.0575351	0.00998591
723	-0.0599856	0.052558
724	-0.0599856	-0.00684241
725	-0.0642941	0.0899405
726	-0.0642941	-0.115758
727	-0.0697808	0.113811
728	-0.0697808	0.00258787
729	-0.0710811	0.0302438
730	-0.0677984	-0.0615237
731	-0.0711133	0.0704976
732	-0.0718249	0.0185258
733	-0.0729301	0.0264539
734	-0.0729301	-0.0753553
735	-0.0729301	0.0414342
736	-0.0768431	0.0827925
737	-0.0768431	0.0105141
738	-0.0768431	0.00525369
739	-0.0814758	0.097447
740	-0.0814758	-0.0448631
741	-0.0812638	0.000637696
742	-0.0812638	-0.111227
743	-0.0778945	-0.0626476
744	-0.0807501	0.0618993
745	-0.0807501	-0.00410565
746	-0.0846105	0.0822044
747	-0.0841499	-0.00415631
748	-0.0841499	0.021305
749	-0.0841499	0.0157343
750	-0.0841499	-0.0517554
751	-0.0841499	-0.0275772
752	-0.084299	0.0080345
753	-0.084299	-0.0109613
754	-0.084299	-0.0620602
755	-0.084299	0.0200814
756	-0.084299	0.00779125
757	-0.084299	-0.13378
758	-0.0811444	-0.0581628
759	-0.0811444	-0.131259
760	-0.0811444	-0.0718611
761	-0.081788	0.017763
762	-0.081788	0.0597775
763	-0.0857231	0.0837651
764	-0.0823898	-0.0616586
765	-0.0823898	0.0411031
766	-0.0805695	-0.0315377
767	-0.0816651	0.0267876
768	-0.0793632	-0.0412328
769	-0.0826677	0.0709827
770	-0.0765906	-0.116829
